Symbol,SumWeights
AAPL,12.33850001950001
MSFT,12.314599973600002
AMZN,9.322299939999999
FB,6.156899961499998
GOOGL,5.319000012799998
NVDA,4.734399987500001
TSLA,4.492400020599999
00700,3.999499987299999
GOOG,3.6273000300000002
JPM,2.981100020099999
JNJ,2.9396999884999997
2330.TW,2.934800023
TFDXX,2.7854998
DAPXX,2.697099995
BABA,2.4665999732999997
BRK.B,2.2790999970999994
XOM,2.2404999849999996
09988,2.1250000035
NESN,2.0556999886
VZ,2.0089999889
V,2.0018999961
AGPXX,2.0000999988
03690,1.9074000149999994
FTIXX,1.857300011
ASML,1.8541999965999996
ROG,1.8336999797999998
PYPL,1.8020000030000003
HD,1.7833000035000002
PG,1.7771000080000003
QQQ,1.7675999949999999
005930.KS,1.7659999959999997
UNH,1.7185000009999998
CSCO,1.7047999720000004
CVX,1.592700012
BAC,1.4408000104999998
AMT,1.4023999879999998
PLD,1.3869999924999998
UBM21,1.3858
INTC,1.3758999954999998
ADBE,1.3754999930000003
NEE,1.342999996
XTSLA,1.2811999904
PFE,1.2810999900000002
INFY.BO,1.2355999931000003
ABBV,1.211399997
TPIXX,1.2044000003000002
NIO,1.194300007
MA,1.1675999955000005
ENB.TO,1.1627999900000001
NOVN,1.1586999971
FXFXX,1.1461000000000001
PM,1.1453999959999999
JD,1.1367000025
IVV,1.116699999
WMT,1.1122000115000001
XLK,1.110300015
EQIX,1.103899996
WFC,1.1008000185000002
TXN,1.0955000035000002
T,1.0949000015000003
MRK,1.079200007
QCOM,1.0791999989999996
7203,1.0646000081999998
MC.PA,1.0478999975
RIO.L,1.0425999814999998
SQ,1.040499984
SAP.DE,1.0364999992
ULVR.L,1.0287999959999998
TLT,1.007899995
ZNM21,0.9995
AVGO,0.989000008
CCI,0.9782999800000001
VALE3.SA,0.9578999940000001
DIS,0.9423999919999999
NOVO B,0.9382999970000004
PEP,0.9232000091999999
NKE,0.9032999879999998
XLY,0.900800016
ZNU21,0.893999983
NFLX,0.8895999929999999
TGT,0.8894000013000002
SPY,0.888000012
LLY,0.8793000005
CRWD,0.878199989
SHOP.TO,0.8604000045999998
KO,0.8566999889999999
TSM.TW,0.855299993
LIN.L,0.8529000059999999
HOLD,0.85229998
CMCSA,0.8501999975
BIDU,0.8445000049999999
PSA,0.828700005
TMO,0.8134999914000001
BHP.AX,0.8052000000000001
ENPH,0.804600009
00939,0.7997999971
NEM,0.79370002
VTI,0.7854999970000001
RELIANCE.B,0.7820999975000001
KMI,0.771199987
01299.HK,0.7683000028999999
XLF,0.767400014
WMB,0.765100002
IBM,0.7640999905
SIE.DE,0.754500006
COP,0.7532000045000001
TRP.TO,0.742099998
CRM,0.737499992
600519,0.731800004
ZFU21,0.7258000000000001
ULTR,0.7210999969999999
DHR,0.718000018
EPD,0.714300001
ALV.DE,0.7125999890000001
COST,0.7060000046999999
FTNT,0.7039000004999999
ZBU21,0.7031000000000001
DE,0.7017000045
MELI.SA,0.7009
AMD,0.698999992
SE.SI,0.6866999990000001
NTES,0.6677000009999999
GSK.L,0.665299994
DUK,0.664399999
GILD,0.658899986
300750,0.6565999960000001
GLDM,0.65559995
MRNA,0.6538999960999998
XLV,0.653499995
WELL,0.651800003
NET,0.6506000027000001
02269,0.649599995
DLR,0.6475000030000001
NPN.JO,0.6440999980000001
TLRY.TO,0.640600006
GS,0.6386000045000001
UNP,0.635700001
UPS,0.6272000024999999
AZN.L,0.6252999941999999
BILI,0.622599996
SAN.PA,0.6165000019999999
ADM,0.616400004
AMGN,0.616300004
ORCL,0.613499999
C,0.6111999969999999
EBAY,0.6038000016
SNAP,0.6026000010000001
HDFC.BO,0.6005999995
MO,0.5964999959999999
LOW,0.5938000029999999
PDBC,0.5932999979999999
VWO,0.58900002
VCSH,0.588100003
WPM.TO,0.587199994
EOG,0.581300005
OKE,0.5779000099999999
MRVL,0.5729000095
HON,0.5666999979999999
ACN,0.5621999945
LQD,0.5599
AMAT,0.558900001
RTX,0.557900001
AWK,0.5504
SEDG,0.5495999976
XLI,0.5493000140000001
ECL,0.545700003
ROKU,0.5357000015
IDXX,0.5321000024000001
ZTU21,0.53100001
BA,0.527700002
ENEL.MI,0.524200005
ET,0.515400007
DAI.DE,0.513500006
FGTXX,0.509799993
AVB,0.5072999950000001
CTVA,0.5052000000000001
VWS,0.5002999969999999
02318,0.5001000015
CVS,0.4993999928
TWLO,0.498700003
EXC,0.49869999699999995
NTR.TO,0.4883999969999999
MCD,0.48820000290000004
TWTR,0.48819999799999997
PDD,0.48030000400000006
ZS,0.478400004
LNG,0.477099998
SRE,0.475700002
DOCU,0.47490000250000003
REGN,0.47339999200000005
SPOT,0.472999992
FCX,0.4709999915
FDX,0.468400013
WEED.TO,0.467200004
COF,0.4625000094000001
HYG,0.461400004
BAB,0.46029999
GME,0.45990000600000003
BMY,0.4574
VEA,0.4555
IEF,0.4547
BAS.DE,0.4487999999999999
ADI,0.44609999599999994
LMT,0.44560000000000005
TCS.BO,0.4425000030000001
CWB,0.442500003
ATVI,0.440100002
RY.TO,0.4389000037
PEG,0.434200009
VALE.SA,0.433699988
ABT,0.431600004
000858,0.43150000400000005
SO,0.424699998
A,0.42340000450000004
SHW,0.42119999900000005
PLUG,0.420700005
BIIB,0.41610000230000005
OXY,0.4154
MS,0.4149000049999999
BATS.L,0.4145999965
MMM,0.413999995
OR.PA,0.41249999950000005
PFF,0.40950000000000003
IP,0.4083
GD,0.4082000015
D,0.407300002
SPG,0.403999997
DCP,0.403700005
PAAS.TO,0.401
ILMN,0.399100001
DPW.DE,0.3973999990000001
FMG.AX,0.39729999930000004
XLC,0.392800005
SYLD,0.39239999999999997
AXP,0.3908999885
ZTS,0.39070000000000005
CCO.TO,0.389
KAP,0.38859999
DHI,0.388200003
GM,0.38769999949999995
MPLX,0.38650000700000003
BAYN.DE,0.3851000025
PXD,0.3848000040000001
6758,0.3838999995
