Bigram,Name,SumWeights,DiffEntries,DiffValue
"('ENB.TO', 'XOM')","('Enbridge Inc', 'Exxon Mobil Corp')",0.33239999499999995,New,New
"('TRP.TO', 'XOM')","('TC Energy Corp', 'Exxon Mobil Corp')",0.297499994,New,New
"('CVX', 'ENB.TO')","('Chevron Corp', 'Enbridge Inc')",0.29400000000000004,New,New
"('EBS', 'OMV')","('Erste Group Bank AG.', 'Omv AG')",0.28400000000000003,New,New
"('GRMN', 'VZ')","('Garmin Ltd', 'Verizon Communications Inc')",0.27039999000000003,New,New
"('CSCO', 'GRMN')","('Cisco Systems Inc', 'Garmin Ltd')",0.27019999,New,New
"('ANET', 'VZ')","('Arista Networks Inc', 'Verizon Communications Inc')",0.26989999200000003,New,New
"('ANET', 'CSCO')","('Arista Networks Inc', 'Cisco Systems Inc')",0.269699992,New,New
"('CSCO', 'TMUS')","('Cisco Systems Inc', 'T-Mobile US Inc')",0.268699986,New,New
"('NPN.JO', 'SSW.JO')","('Naspers Ltd Class N', 'Sibanye Stillwater Ltd Ordinary Shares')",0.26479999,New,New
"('LUMN', 'VZ')","('Lumen Technologies Inc Ordinary Shares', 'Verizon Communications Inc')",0.264599988,New,New
"('CSCO', 'LUMN')","('Cisco Systems Inc', 'Lumen Technologies Inc Ordinary Shares')",0.264399988,New,New
"('CVX', 'TRP.TO')","('Chevron Corp', 'TC Energy Corp')",0.259099999,New,New
"('FFIV', 'VZ')","('F5 Networks Inc', 'Verizon Communications Inc')",0.25759999,New,New
"('CSCO', 'FFIV')","('Cisco Systems Inc', 'F5 Networks Inc')",0.25739999,New,New
"('NPN.JO', 'SLM.JO')","('Naspers Ltd Class N', 'Sanlam Ltd')",0.252599989,New,New
"('LBTYK.L', 'VZ')","('Liberty Global PLC C', 'Verizon Communications Inc')",0.252199989,New,New
"('CSCO', 'LBTYK.L')","('Cisco Systems Inc', 'Liberty Global PLC C')",0.251999989,New,New
"('EBS', 'VER')","('Erste Group Bank AG.', 'Verbund AG')",0.2506,New,New
"('SLB', 'WHD')","('Schlumberger Ltd', 'Cactus Inc Class A')",0.25020000200000003,New,New
"('D05.SI', 'S68.SI')","('DBS Group Holdings Ltd', 'Singapore Exchange Ltd')",0.2437,New,New
"('HAL', 'WHD')","('Halliburton Co', 'Cactus Inc Class A')",0.242500002,New,New
"('A17U.SI', 'D05.SI')","('Ascendas Real Estate Investment Trust Units Real Estate Investment Trust', 'DBS Group Holdings Ltd')",0.240699998,New,New
"('BN4.SI', 'D05.SI')","('Keppel Corp Ltd', 'DBS Group Holdings Ltd')",0.24059999999999998,New,New
"('000270.KS', '005930.KS')","('Kia Corp', 'Samsung Electronics Co Ltd')",0.2372,New,New
"('D05.SI', 'F34.SI')","('DBS Group Holdings Ltd', 'Wilmar International Ltd')",0.2369,New,New
"('C6L.SI', 'D05.SI')","('Singapore Airlines Ltd', 'DBS Group Holdings Ltd')",0.2344,New,New
